1620
(-0.0266828,-0.115649)
(-0.0155845,0.0314363)
(0.0614711,0.0594396)
(0.00718978,-0.140017)
(-0.0228025,-0.0326146)
(-0.0316132,0.035105)
(0.0504688,0.0446261)
(-0.0199157,-0.0226318)
(0.0012583,0.00859881)
(-0.00679784,0.0316491)
(-0.0524411,0.0458192)
(-0.00444809,0.0200455)
(0.00322778,-0.046141)
(-0.0146977,-0.00116728)
(0.0113954,0.0484865)
(-0.0403887,0.020183)
(-0.0338719,-0.0883492)
(0.0190817,0.0270688)
(0.0196829,0.0177052)
(-0.0032393,0.0185035)
(-0.0167366,-0.0170459)
(-0.0019139,0.0184967)
(-0.0632733,0.00873959)
(-0.0396914,-0.042399)
(-0.000818654,0.0340671)
(0.033617,0.0175788)
(-0.022546,0.0177902)
(0.0713257,-0.0929923)
(-0.0404632,-0.00648759)
(0.0695404,-0.031988)
(0.0458277,0.0616005)
(0.0414779,-0.0172732)
(-0.00960623,0.0488075)
(-0.0828598,0.0327911)
(0.0530938,0.0332535)
(0.0103264,0.0618201)
(0.0610726,0.00308635)
(-0.0103505,0.0248676)
(-0.0493905,-0.00182865)
(0.0503689,0.0126327)
(0.0247176,-0.0769844)
(0.0840088,0.0110641)
(0.0487565,0.0227074)
(0.127913,-0.00186348)
(-0.0439853,0.062049)
(0.127753,-0.0215173)
(0.103135,-0.0336005)
(-0.0223657,-0.00091783)
(0.0516251,-0.0612163)
(-0.0167998,-0.0234076)
(0.0399439,0.00233916)
(0.0860791,-0.0300651)
(0.0156118,0.00900003)
(0.0234267,-0.00706341)
(-0.0176267,0.0176729)
(-0.0327906,0.0226404)
(0.050717,0.0250806)
(0.0460883,0.0556168)
(-0.0167657,-0.0399423)
(0.0459557,-0.0278298)
(-0.0369144,-0.0102902)
(0.174413,-0.07596)
(-0.00474165,0.00305544)
(0.398634,-0.0826124)
(-0.018168,0.000190167)
(-0.00313133,0.0443558)
(0.00525016,-0.0118844)
(0.0281414,0.00900565)
(0.0396961,0.124098)
(-0.0349895,-0.0683571)
(0.0106811,0.0692292)
(0.00525863,0.0566793)
(-0.0170115,0.0664296)
(-0.0400037,0.0307472)
(-0.00952784,0.00423045)
(-0.0895941,0.0545189)
(0.00281289,-0.0463292)
(0.0128755,-0.048196)
(-0.021582,0.0133777)
(0.0777375,-0.0461079)
(-0.00501171,-0.068216)
(-0.00940388,0.00712085)
(0.0252765,-0.072011)
(0.037584,-0.0277167)
(0.0452964,0.0238148)
(0.0129794,0.0138234)
(-0.0285091,-0.0241773)
(-0.0395606,0.0056399)
(0.0736118,0.0249092)
(0.0237451,-0.0141032)
(-0.108983,-0.024076)
(-0.0286162,0.0178017)
(0.457167,-0.0751069)
(0.0208351,0.111719)
(-0.0131176,0.0765613)
(0.567392,-0.0193814)
(-0.0571286,0.0657799)
(0.432705,-0.145863)
(-0.0100828,-0.0964198)
(-0.0504553,-0.0866214)
(0.0644327,-0.00131045)
(-0.0739808,-0.0148362)
(0.0447365,-0.0826063)
(-0.00758342,-0.0525355)
(-0.021248,-0.109974)
(0.443422,-0.0876149)
(0.0103605,0.0599358)
(-0.0766097,-0.00563691)
(0.0115422,0.0248384)
(0.0353554,0.0435479)
(0.00235305,0.0346742)
(0.697337,-0.155887)
(0.365932,-0.0344674)
(-0.0107288,-0.0139761)
(0.463371,-0.0451575)
(0.0285238,0.100055)
(0.0159696,0.0815174)
(0.624886,-0.11142)
(0.00692714,0.00431467)
(0.46563,-0.0769584)
(0.421391,-0.0654452)
(0.0235002,0.0548524)
(0.397325,-0.067996)
(0.278354,-0.118889)
(0.283507,-0.078856)
(0.0183233,-0.0295524)
(0.0583729,-0.0134644)
(0.00643809,0.0568916)
(0.353784,-0.122768)
(0.0690424,0.031863)
(0.113716,0.0563232)
(0.0177781,-0.012786)
(-0.00511579,-0.0500279)
