1620
(-0.0233532,-0.130178)
(-0.0208033,0.0432785)
(0.0541399,0.0612181)
(0.0158776,-0.149327)
(-0.00600625,-0.025431)
(-0.0327093,0.0467764)
(0.0413677,0.0654066)
(-0.0170344,-0.0104743)
(0.00104675,0.0220045)
(-0.00247119,0.035406)
(-0.0511518,0.0337508)
(-0.000170578,0.0158446)
(0.0232329,-0.0375355)
(-0.0197891,0.00101887)
(-0.00971314,0.0521379)
(-0.0315405,0.0281157)
(-0.0212311,-0.0833788)
(0.0099551,0.0325459)
(0.0161063,0.0212408)
(-0.0158536,0.0036672)
(-0.0216652,-0.0179988)
(0.00687458,0.0216801)
(-0.0623528,0.0146277)
(-0.0247864,-0.0535219)
(0.00555671,0.0365218)
(0.0273262,0.0127791)
(-0.0301248,0.00703113)
(0.0757412,-0.0679484)
(-0.0259452,-0.00776793)
(0.0586742,-0.0131744)
(0.0367465,0.0752745)
(0.0422398,-0.0192894)
(0.00557537,0.0474035)
(-0.099062,0.0369999)
(0.0594671,0.0280177)
(0.0137077,0.0660373)
(0.0662263,-0.0142261)
(-0.0093909,0.0338941)
(-0.0420972,0.00409102)
(0.0388371,0.00189556)
(0.0387067,-0.0805719)
(0.0761936,0.0133264)
(0.0621805,0.0246154)
(0.129633,0.00377749)
(-0.03455,0.0666941)
(0.131346,-0.0192285)
(0.0946238,-0.0237764)
(-0.0201744,-0.00411654)
(0.0522408,-0.0576295)
(-0.0138418,-0.0260165)
(0.0437644,0.00486068)
(0.0936913,-0.0242459)
(0.0141348,0.0155035)
(0.0202237,-0.00218508)
(-0.00344784,0.0298354)
(-0.0207877,0.0280502)
(0.0486287,0.0301019)
(0.0474403,0.0685161)
(-0.0149984,-0.0482004)
(0.0530906,-0.0349372)
(-0.0383056,-0.0197385)
(0.170316,-0.0667194)
(-0.0161006,0.00126418)
(0.391154,-0.0853874)
(-0.0234257,-0.00427053)
(-0.0146287,0.0323149)
(-0.00363805,-0.00535991)
(0.024887,0.0154391)
(0.0109378,0.14296)
(-0.0411884,-0.0675383)
(0.0108052,0.0521707)
(0.00730053,0.0473399)
(-0.0296418,0.072265)
(-0.0437477,0.0299206)
(0.0059811,-0.0163823)
(-0.0879172,0.0674625)
(0.0140496,-0.0356726)
(0.00707954,-0.0513849)
(-0.0200997,0.00755946)
(0.0803454,-0.0393291)
(-0.015737,-0.0655629)
(0.00680798,0.0102505)
(0.0254513,-0.067059)
(0.0239531,-0.0174272)
(0.0366865,0.0223408)
(0.0231233,0.0259901)
(-0.0344627,-0.0459877)
(-0.0381308,0.015906)
(0.0822698,0.0226608)
(0.0339816,-0.0137813)
(-0.112668,-0.016192)
(-0.0196846,0.0237045)
(0.457414,-0.0664174)
(0.0120906,0.104424)
(-0.0204487,0.0652067)
(0.57474,-0.0111376)
(-0.0574787,0.0586282)
(0.44321,-0.142365)
(-0.00952319,-0.0987547)
(-0.0451462,-0.0875841)
(0.0573874,0.0134387)
(-0.073395,-0.0132077)
(0.0458462,-0.0777747)
(-0.00310879,-0.0358945)
(-0.0236099,-0.115184)
(0.443831,-0.0968963)
(0.0304801,0.0701657)
(-0.0702768,-0.0103202)
(0.0120243,0.0194774)
(0.0408358,0.0655319)
(0.00536944,0.0296406)
(0.70766,-0.13634)
(0.366922,-0.0403678)
(-0.00913122,-0.0126829)
(0.481059,-0.0482263)
(0.0150819,0.10587)
(-0.00164332,0.0790931)
(0.639178,-0.0872227)
(0.00422457,0.0184723)
(0.485941,-0.0695775)
(0.436071,-0.0656815)
(0.0224749,0.0421319)
(0.38871,-0.0701601)
(0.281044,-0.117668)
(0.279315,-0.0770547)
(0.00168329,-0.0262441)
(0.0486401,-0.02978)
(0.000986821,0.0420243)
(0.353296,-0.128131)
(0.0831316,0.059923)
(0.114645,0.0878108)
(0.0111735,-0.00931575)
(-0.00538341,-0.0480697)
(0.00207687,0.0243221)
(0.00144086,0.0174807)
(0.0201465,0.0248794)
(-0.0529974,0.00719223)
(0.00438808,0.0289193)
(0.383629,-0.0908636)
(0.0281378,-0.0131957)
(0.0146069,0.0459488)
(-0.0163972,0.0554404)
(0.0205885,-0.0170024)
(0.0465621,-0.0688189)
(0.0905523,-0.0862101)
(0.0263676,-0.0975593)
(0.0129689,-0.00113561)
(0.426912,-0.0854229)
(0.483601,-0.105141)
(-0.0582624,0.00298866)
(0.483876,-0.149337)
(0.195636,-0.0665608)
(0.543063,-0.0326635)
(0.468361,-0.114158)
(0.47448,-0.0772041)
(-0.0406824,0.0207027)
(0.0730528,0.0446251)
(0.416733,-0.156524)
(0.371569,-0.0172573)
(-0.0178775,0.00793559)
(-0.0300701,0.0382089)
(0.000142087,0.0323949)
(0.0114252,0.0378049)
(-0.0387993,-0.0165673)
(-0.00956361,0.0257108)
(-0.0462162,-0.0346363)
(0.0161349,-0.0442494)
(-0.0123777,-0.051273)
(0.0388135,0.0297049)
(-0.0182864,0.0859894)
(0.0408961,-0.0152467)
(0.055541,0.000288198)
(0.418902,-0.170928)
(0.3807,-0.123533)
(0.570103,-0.122396)
(0.498493,-0.0702754)
(0.0660739,-0.0922011)
(0.149898,-0.0201864)
(-0.0901401,-0.0650074)
(-0.11744,0.0594236)
(-0.0538652,-0.0594284)
(0.0395677,0.0546337)
(0.0154641,0.0170389)
(0.0128884,0.038778)
(0.0152138,0.0250155)
(0.000108019,0.0389411)
(0.0398079,0.021334)
(0.0642557,-0.100322)
(0.00608966,-0.0244929)
(0.411332,-0.151341)
(0.478294,-0.0763051)
(0.37411,-0.0888026)
(0.580345,-0.121281)
(-0.0468787,-0.0473654)
(-0.0445782,-0.04201)
(0.0503071,0.0561839)
(0.0488933,0.0359871)
(-0.0338603,0.0463072)
(-0.0537236,-0.0566204)
(-0.00743795,0.0119211)
(0.0259091,-0.120354)
(0.0843835,-0.0926619)
(-0.043839,-0.0457772)
(-0.0658101,-0.0201081)
(-0.0141841,-0.0171451)
(-0.05322,0.0269012)
(0.465054,-0.0921043)
(0.475253,-0.0286877)
(-0.0948968,0.0203334)
(0.381334,-0.0961052)
(-0.0367873,-0.0120895)
(0.414217,-0.0853643)
(0.41017,-0.0888859)
(-0.0882031,0.0192853)
(-0.0675996,0.0379525)
(0.0901613,0.0798158)
(0.0844833,0.00844958)
(0.451461,-0.114616)
(0.570483,-0.143424)
(-0.0194238,-0.0456509)
(-0.00248907,-0.0105117)
(-0.0390829,0.0104473)
(0.0454613,0.0746376)
(0.702261,-0.175)
(-0.0538429,-0.054776)
(-0.0758403,-0.0754777)
(0.412015,-0.161864)
(-0.0352005,0.063172)
(-0.0142966,0.0345597)
(-0.0745748,-0.0349404)
(-0.0178437,0.0137388)
(0.484877,-0.127419)
(0.470476,-0.17719)
(0.538633,-0.0512526)
(0.479494,-0.0568828)
(-0.0475924,0.0327807)
(-0.0150484,-0.0441944)
(-0.00853656,-0.022049)
(0.186715,-0.0639318)
(0.00132607,0.0271853)
(0.069783,-0.00793982)
(-0.0102053,-0.0442796)
(-0.0103756,0.0711644)
(-0.0165532,0.0737029)
(-0.0157556,-0.0568072)
(-0.0383791,0.0165191)
(0.078719,-2.33493e-05)
(-0.00672505,-0.0423028)
(0.0323173,0.00748122)
(-0.0440196,0.0291727)
(-0.0445429,-0.0329752)
(-0.0299979,0.0177322)
(-0.0549109,-0.0264266)
(-0.0501608,-0.0466497)
(-0.0383474,0.0218964)
(0.0371395,-0.0520259)
(0.0556403,-0.0120456)
(0.0103685,-0.00939888)
(0.0378996,0.00296271)
(-0.025025,-0.0959534)
(0.063692,-0.10865)
(-0.0250873,0.012272)
(0.00930783,0.00739608)
(-0.0424765,-0.0260888)
(0.524919,-0.0678863)
(-0.0472578,-0.062543)
(-0.0816182,-0.102059)
(-0.0178141,-0.023347)
(0.0201304,-0.00932254)
(0.051464,0.0297578)
(-0.0150522,0.0184378)
(0.0203771,-0.00789399)
(-0.0683988,-0.0201743)
(-0.0507263,0.0521264)
(0.011502,0.00541811)
(0.493773,0.00294328)
(-0.00353654,0.0622201)
(-0.0407507,-0.0142625)
(0.0591512,0.0672611)
(0.0173044,-0.0110363)
(0.0294771,0.0288361)
(0.0389761,0.0594225)
(0.0138685,-0.0391473)
(-0.00663937,-0.0624426)
(0.111664,0.0556708)
(0.042399,0.0238123)
(0.0217867,0.00612771)
(-0.067363,0.000345571)
(0.0525426,0.0171929)
(0.106738,0.0265431)
(-0.00775663,0.0575115)
(0.0130133,-0.0366366)
(-0.0780388,0.0134185)
(-0.0469667,-0.0184702)
(-0.0334233,0.00693798)
(-0.0510213,0.0358385)
(0.0531197,-0.0446504)
(-0.00190344,0.0236345)
(-0.0565619,-0.0276218)
(-0.053487,0.00337417)
(0.00733334,0.0394353)
(-0.096737,0.020156)
(-0.0370209,-0.020378)
(-0.0360865,-0.000827171)
(-0.0416064,0.00509674)
(0.0124746,-0.0394991)
(0.063036,0.0278553)
(0.374026,-0.133718)
(0.00249982,0.0107018)
(-0.00865245,0.0213881)
(-0.0376726,-0.0302325)
(-0.07087,-0.0558718)
(-0.117065,-0.0748857)
(-0.0647543,-0.0355137)
(-0.0421096,-0.0458949)
(-0.0688416,-0.0212618)
(0.0305464,-0.083379)
(-0.0541467,-0.0876637)
(-0.0616374,-0.0332551)
(0.443687,-0.213157)
(-0.0089284,-0.0254554)
(-0.0274546,0.0228286)
(0.0165805,-0.0187859)
(-0.00160741,-0.0261126)
(-0.0254591,-0.0161428)
(-0.00194053,0.0213225)
(0.0829013,-0.0681706)
(0.00641306,-0.00304284)
(0.00638904,0.0576936)
(-0.0295812,-0.0514563)
(0.0383421,-0.00791073)
(-0.0153025,-0.0169903)
(-0.0467003,-0.0160703)
(0.0430429,-0.0405561)
(-0.0188952,-0.0794368)
(0.471223,0.0113906)
(0.0343895,-0.03282)
(0.0677303,0.0594502)
(-0.0951233,-0.070957)
(0.0523756,-0.0347606)
(0.0262962,-0.043115)
(-0.0568446,-0.0664822)
(0.0734763,0.0500264)
(-0.0172245,0.00496486)
(-0.0173588,-0.0103334)
(0.0433118,0.0507085)
(0.0403917,0.0424545)
(0.00711375,0.108434)
(-0.0121953,0.00788179)
(0.147253,-0.0212977)
(0.38779,-0.100974)
(0.449055,-0.108367)
(0.0946356,-0.0465297)
(-0.00164694,0.015314)
(0.414376,-0.11598)
(-0.0881508,0.100767)
(0.058299,-0.0365309)
(-0.0290247,0.00140945)
(-0.049773,-0.00892189)
(-0.00593463,-0.0041859)
(0.259095,-0.108098)
(0.122527,-0.0651176)
(0.0277769,0.0395805)
(-0.0272816,0.0110276)
(-0.0320539,0.00888521)
(0.0244368,0.0271289)
(0.456548,-0.180123)
(-0.0412334,-0.0599464)
(-0.0412021,0.000924903)
(-0.00630881,0.0235292)
(-0.00781544,0.067514)
(-0.00618177,-0.0509335)
(-0.0196567,-0.0269258)
(-0.0107646,0.0754937)
(0.46116,-0.115161)
(0.41258,-0.077404)
(0.0263748,-0.0347394)
(0.0139355,-0.0847399)
(0.0232319,0.0431761)
(0.0693424,0.0366977)
(-0.0147065,0.033513)
(0.143401,-0.0281265)
(0.358398,-0.100186)
(-0.0470585,-0.0189812)
(0.0335928,-0.0583679)
(-0.0241676,0.0129698)
(0.0536369,0.0112101)
(0.0377582,0.0984401)
(0.0157786,0.0255057)
(0.0287774,-0.038362)
(-0.000641837,-0.0857062)
(0.0433143,0.0183318)
(0.00940953,-0.0172941)
(-0.0392956,-0.0600705)
(0.0414093,0.0905133)
(0.0718629,0.0524533)
(-0.0751845,-0.0240942)
(-0.0166616,-0.0845244)
(0.0304908,0.0493383)
(0.0506586,0.0100923)
(0.0438612,0.00774678)
(-0.071327,0.0300863)
(-0.0066807,0.048762)
(0.556466,-0.133106)
(-0.0485439,0.0108355)
(0.00404671,0.0206757)
(-0.095425,-0.0947171)
(-0.112633,-0.082027)
(-0.00578908,0.0157979)
(0.0194573,-0.0124026)
(-0.0547297,-0.036483)
(0.0332743,-0.0246023)
(0.00894632,0.0962816)
(0.0338873,-0.0213998)
(0.448371,-0.123488)
(0.0197976,0.101354)
