1620
(-0.0228218,-0.130713)
(-0.0220136,0.0445649)
(0.0538471,0.0618594)
(0.0161287,-0.148687)
(-0.00310487,-0.0249863)
(-0.0345571,0.0477559)
(0.0398857,0.0681516)
(-0.0168224,-0.0083155)
(-0.000837932,0.0239957)
(-0.00160326,0.0369443)
(-0.0512629,0.0309656)
(-0.000463731,0.0142022)
(0.0259277,-0.0364791)
(-0.0198418,0.00138614)
(-0.0130007,0.0530657)
(-0.0304375,0.0288962)
(-0.0202014,-0.0815545)
(0.00672414,0.0326027)
(0.0163804,0.0208627)
(-0.0184944,0.000434055)
(-0.0217529,-0.0174714)
(0.00787919,0.023289)
(-0.0633119,0.0159505)
(-0.0229929,-0.0555944)
(0.00436443,0.037074)
(0.0249166,0.0125838)
(-0.0315749,0.00382674)
(0.0760904,-0.0658043)
(-0.024461,-0.00798424)
(0.0569262,-0.0116343)
(0.034267,0.0762537)
(0.0435158,-0.0214125)
(0.00507639,0.047032)
(-0.101699,0.0365445)
(0.0603448,0.0280366)
(0.013713,0.0673364)
(0.0684355,-0.0161287)
(-0.00827753,0.0352547)
(-0.0406553,0.0052129)
(0.0381613,-0.000338343)
(0.0400965,-0.0811993)
(0.0750135,0.012186)
(0.062958,0.0269115)
(0.128937,0.00446024)
(-0.0354269,0.06609)
(0.131262,-0.0188315)
(0.0923642,-0.0222128)
(-0.0198056,-0.00399399)
(0.0508781,-0.0577278)
(-0.0137869,-0.0258806)
(0.0441614,0.00510756)
(0.0956751,-0.0239525)
(0.0145175,0.0161289)
(0.0200848,-0.00191244)
(-0.00134189,0.0305987)
(-0.0190574,0.0277782)
(0.0485269,0.0315842)
(0.0481508,0.0714009)
(-0.0153886,-0.0487275)
(0.0546539,-0.0370379)
(-0.0385214,-0.0208118)
(0.169602,-0.0649915)
(-0.0181042,-0.000284362)
(0.390723,-0.0879684)
(-0.0250637,-0.00604772)
(-0.0155176,0.0308556)
(-0.0044703,-0.00625538)
(0.0245469,0.0143034)
(0.00529101,0.143692)
(-0.0423055,-0.0668753)
(0.0121178,0.0495616)
(0.00787926,0.0454533)
(-0.0315939,0.0722195)
(-0.0449095,0.0320121)
(0.00718513,-0.01693)
