24	24
(117.506,-0.259404)	(111.98,-0.998977)	(65.1118,-2.47566)	(-44.1731,-3.49222)	(-154.762,-1.9356)	(-82.5834,0.410961)	(196.14,0.561837)	(156.076,0.752275)	(-432.298,1.97194)	(-91.8408,0.969957)	(2201.89,0.0673671)	(3774.68,-3.07393e-15)	(2201.96,-0.0148946)	(-90.5307,0.394632)	(-429.225,2.43155)	(158.472,1.69355)	(195.312,-1.55137)	(-85.3997,-1.27765)	(-152.187,-1.13572)	(-34.4279,-3.48306)	(72.0847,-4.41254)	(108.082,-3.27432)	(109.286,-1.29801)	(110.834,0.019137)
(113.875,-0.844019)	(111.243,-1.26802)	(105.11,-2.44283)	(66.9737,-3.46966)	(-36.2212,-3.59348)	(-150.954,-2.20486)	(-84.9444,-1.4451)	(193.772,-1.33578)	(156.577,1.57226)	(-430.454,2.88509)	(-90.8482,0.840035)	(2201.96,0.0148946)	(3774.68,3.03924e-15)	(2201.95,-0.00362842)	(-91.2948,1.07046)	(-431.151,2.59913)	(157.54,0.941155)	(197.19,-0.22316)	(-81.1678,-0.325966)	(-150.644,-2.93591)	(-39.9728,-5.02405)	(64.7112,-4.13567)	(108.844,-1.6)	(116.921,-0.650918)
(112.155,0.0651495)	(106.136,-0.867572)	(110.495,-1.24813)	(112.479,-1.51985)	(73.1449,-1.3503)	(-38.3285,0.197759)	(-158.079,1.5348)	(-89.1713,0.185342)	(194.876,-0.263559)	(159.643,1.4873)	(-428.409,0.617722)	(-90.5307,-0.394632)	(2201.95,0.00362842)	(3774.68,5.47479e-15)	(2201.93,0.00492782)	(-91.8452,0.528568)	(-431.504,1.0367)	(158.005,1.76391)	(197.257,4.02586)	(-84.9327,2.90886)	(-158.641,-1.32225)	(-44.1527,-2.19964)	(68.4981,-0.144853)	(112.429,0.701949)
(107.473,-0.434193)	(111.646,-1.38713)	(112.032,-1.02327)	(117.823,-0.777829)	(113.56,0.0310323)	(67.6638,2.31821)	(-43.7012,5.14634)	(-157.729,3.94358)	(-85.1387,0.405033)	(197.956,-0.133638)	(160.635,-0.867988)	(-429.225,-2.43155)	(-91.2948,-1.07046)	(2201.93,-0.00492782)	(3774.69,-2.2482e-15)	(2201.94,-0.146795)	(-91.6925,-0.262944)	(-430.971,-0.145206)	(157.663,2.94832)	(193.908,6.00259)	(-90.5092,3.83152)	(-161.117,2.09926)	(-43.1599,3.27652)	(66.5075,2.54691)
(68.8627,-2.16535)	(111.621,-3.05177)	(116.25,-2.69482)	(114.767,-0.879973)	(115.528,1.6069)	(110.834,4.84982)	(70.7643,6.69439)	(-35.9972,3.84255)	(-152.016,0.369705)	(-83.7971,0.0385723)	(196.855,0.461963)	(158.472,-1.69355)	(-431.151,-2.59913)	(-91.8452,-0.528568)	(2201.94,0.146795)	(3774.69,1.02418e-14)	(2201.96,0.0648458)	(-91.2027,-0.736846)	(-429.874,-0.711829)	(158.063,2.53468)	(192.863,4.09896)	(-91.7161,3.45058)	(-161.902,3.65394)	(-43.4902,1.1216)
(-36.4003,-2.67434)	(71.1763,-4.46042)	(112.719,-2.31116)	(115.827,2.25972)	(113.216,5.50423)	(118.514,7.201)	(118.129,5.22901)	(76.4732,1.02294)	(-34.6603,-1.6387)	(-154.669,-2.07453)	(-87.1318,0.441593)	(195.312,1.55137)	(157.54,-0.941155)	(-431.504,-1.0367)	(-91.6925,0.262944)	(2201.96,-0.0648458)	(3774.67,1.21847e-14)	(2201.94,-0.0228246)	(-90.6682,-0.516155)	(-428.936,0.449228)	(157.876,2.25653)	(191.498,0.688826)	(-90.7438,-1.13324)	(-155.244,-1.47029)
(-149.999,-1.2281)	(-36.9232,-2.5005)	(69.3893,1.16686)	(111.602,5.67696)	(118.453,7.47642)	(119.045,6.24922)	(122.033,1.79858)	(117.942,-2.42754)	(73.3597,-5.06037)	(-41.3548,-4.9515)	(-158.486,-1.9162)	(-85.3997,1.27765)	(197.19,0.22316)	(158.005,-1.76391)	(-430.971,0.145206)	(-91.2027,0.736846)	(2201.94,0.0228246)	(3774.66,-8.74301e-15)	(2201.86,0.00701849)	(-90.8671,0.219759)	(-430.424,1.59804)	(155.711,-0.10462)	(193.752,-3.3838)	(-82.6011,-1.70254)
(-83.0507,2.41918)	(-154.486,0.341771)	(-40.952,1.6929)	(71.0772,5.1558)	(117.603,6.22072)	(121.902,2.4914)	(118.154,-2.92809)	(119.264,-6.16004)	(112.451,-6.12381)	(66.9175,-3.53433)	(-40.8837,-1.30802)	(-152.187,1.13572)	(-81.1678,0.325966)	(197.257,-4.02586)	(157.663,-2.94832)	(-429.874,0.711829)	(-90.6682,0.516155)	(2201.86,-0.00701849)	(3774.66,-9.99548e-15)	(2201.82,-0.131776)	(-91.5279,0.242988)	(-431.722,0.620778)	(156.54,-0.518175)	(196.4,1.32597)
(193.592,4.48311)	(-87.2804,2.23458)	(-156.953,0.846111)	(-38.3128,3.06576)	(73.9242,2.34885)	(116.804,-2.93722)	(118.977,-6.63368)	(113.86,-6.62313)	(114.406,-3.32705)	(111.163,-0.173224)	(71.8551,1.30012)	(-34.4279,3.48306)	(-150.644,2.93591)	(-84.9327,-2.90886)	(193.908,-6.00259)	(158.063,-2.53468)	(-428.936,-0.449228)	(-90.8671,-0.219759)	(2201.82,0.131776)	(3774.67,-8.88178e-15)	(2201.97,-0.189391)	(-91.4674,-0.0393624)	(-431.717,0.664462)	(155.58,2.61901)
(155.527,1.43997)	(195.275,1.93565)	(-85.9287,1.21751)	(-156.462,1.21947)	(-38.9596,-1.07014)	(72.096,-4.69052)	(112.835,-5.98189)	(114.757,-4.09994)	(112.844,-0.180363)	(117.341,1.68746)	(115.354,2.52089)	(72.0847,4.41254)	(-39.9728,5.02405)	(-158.641,1.32225)	(-90.5092,-3.83152)	(192.863,-4.09896)	(157.876,-2.25653)	(-430.424,-1.59804)	(-91.5279,-0.242988)	(2201.97,0.189391)	(3774.68,1.66668e-14)	(2202.14,-0.16491)	(-91.47,0.226266)	(-432.485,0.478162)
(-431.317,-1.13372)	(160.187,-0.688314)	(199.167,0.26038)	(-85.47,-0.112777)	(-156.335,-0.627783)	(-39.7756,-1.51408)	(69.1657,-2.34631)	(111.767,-0.232456)	(116.452,2.61832)	(114.747,2.54416)	(115.524,2.33841)	(108.082,3.27432)	(64.7112,4.13567)	(-44.1527,2.19964)	(-161.117,-2.09926)	(-91.7161,-3.45058)	(191.498,-0.688826)	(155.711,0.10462)	(-431.722,-0.620778)	(-91.4674,0.0393624)	(2202.14,0.16491)	(3774.7,3.25434e-15)	(2202.07,0.271969)	(-91.845,0.10527)
(-91.6846,-0.231167)	(-429.014,-0.653104)	(161.985,0.074177)	(197.832,-1.01136)	(-86.0116,-1.03835)	(-154.904,0.440263)	(-37.5806,1.41011)	(71.5981,3.69102)	(112.971,4.61043)	(114.968,3.15112)	(108.431,1.70855)	(109.286,1.29801)	(108.844,1.6)	(68.4981,0.144853)	(-43.1599,-3.27652)	(-161.902,-3.65394)	(-90.7438,1.13324)	(193.752,3.3838)	(156.54,0.518175)	(-431.717,-0.664462)	(-91.47,-0.226266)	(2202.07,-0.271969)	(3774.68,-9.48547e-15)	(2201.84,0.188282)
(2201.69,0.0398188)	(-91.477,-0.0698671)	(-429.77,0.821087)	(158.058,-0.466796)	(194.701,-3.36604)	(-83.5752,-2.3952)	(-149.331,0.734122)	(-34.4997,3.53393)	(71.3378,4.49805)	(109.472,2.9228)	(110.669,0.293805)	(110.834,-0.019137)	(116.921,0.650918)	(112.429,-0.701949)	(66.5075,-2.54691)	(-43.4902,-1.1216)	(-155.244,1.47029)	(-82.6011,1.70254)	(196.4,-1.32597)	(155.58,-2.61901)	(-432.485,-0.478162)	(-91.845,-0.10527)	(2201.84,-0.188282)	(3774.66,-5.48173e-15)
