318	24
(395.583,-192.132)	(94.5427,-421.555)	(-167.981,-392.429)	(-284.214,-314.941)	(-291.288,-308.157)	(-194.156,-379.539)	(47.0065,-428.524)	(361.28,-248.423)	(393.265,215.571)	(-106.768,448.712)	(-474.137,-49.4932)	(16.7093,-494.32)	(512.549,-39.7401)	(183.926,500.758)	(-329.507,440.265)	(-522.547,201.061)	(-530.906,180.123)	(-378.873,401.313)	(96.472,527.442)	(512.693,66.9336)	(126.489,-481.09)	(-453.917,-153.735)	(-198.085,418.909)	(348.745,284.711)
(375.12,247.183)	(203.604,406.08)	(-94.3777,451.195)	(-392.323,257.306)	(-460.94,-128.915)	(-203.28,-444.607)	(192.278,-460.709)	(455.416,-226.726)	(514.769,39.4495)	(482.472,196.016)	(473.384,218.697)	(506.627,109.051)	(495.444,-127.679)	(307.749,-397.454)	(-66.0205,-488.051)	(-404.46,-262.404)	(-452.638,134.967)	(-208.94,413.901)	(111.644,442.538)	(331.132,305.875)	(422.364,146.036)	(442.371,46.3016)	(443.383,31.1312)	(434.017,102.528)
(420.977,150.261)	(442.216,48.105)	(443.424,30.2806)	(434.734,99.1173)	(378.3,242.052)	(210.961,402.104)	(-84.1782,452.975)	(-385.452,267.01)	(-463.919,-116.503)	(-214.734,-438.835)	(181.091,-464.887)	(450.659,-235.462)	(515.058,32.5863)	(483.501,193.236)	(472.844,219.954)	(505.589,114.471)	(497.834,-119.071)	(316.823,-390.644)	(-53.5184,-489.901)	(-397.567,-273.286)	(-456.269,123.231)	(-218.803,409.052)	(102.81,444.877)	(326.504,311.023)
(283.922,-413.888)	(-160.411,-463.04)	(-462.881,-120.999)	(-356.593,302.86)	(5.82485,458.706)	(312.182,326.005)	(434.979,97.9211)	(435.766,-75.619)	(413.076,-153.377)	(418.295,-139.466)	(442.021,-32.0014)	(415.016,167.011)	(236.332,386.994)	(-112.735,447.39)	(-431.15,189.537)	(-408.533,-255.657)	(-18.1522,-493.382)	(385.843,-326.531)	(515.165,29.2584)	(433.565,294.072)	(345.678,398.894)	(363.977,381.253)	(468.251,230.296)	(506.639,-80.2929)
(280.39,354.886)	(-125.586,444.259)	(-460.237,108.972)	(-306.072,-377.291)	(206.488,-454.954)	(508.536,-69.497)	(407.414,331.423)	(181.067,501.895)	(78.5248,530.965)	(165.625,507.716)	(388.227,355.002)	(513.51,-29.6598)	(247.414,-435.418)	(-269.307,-405.73)	(-469.446,65.5349)	(-163.737,432.606)	(253.698,375.298)	(438.115,80.8098)	(403.107,-176.664)	(309.169,-308.641)	(264.993,-345.866)	(302.618,-314.818)	(395.306,-192.673)	(441.563,54.9267)
(410.057,179.544)	(428.046,-108.529)	(336.901,-279.365)	(270.613,-341.664)	(282.582,-332.229)	(364.74,-243.53)	(441.676,-35.5527)	(361.287,267.874)	(16.6924,458.2)	(-393.512,255.572)	(-414.537,-245.232)	(41.5214,-493.492)	(461.151,-215.618)	(469.578,227.369)	(246.694,470.681)	(91.1564,528.552)	(118.812,522.16)	(313.637,426.066)	(505.987,112.428)	(378.05,-335.059)	(-113.503,-477.982)	(-467.208,-100.715)	(-296.245,359.67)	(138.493,434.245)
(454.63,-228.197)	(504.419,120.232)	(403.681,336.234)	(342.447,401.838)	(393.484,348.814)	(497.409,149.513)	(472.222,-192.029)	(161.745,-471.408)	(-283.895,-395.112)	(-474.957,14.9585)	(-262.585,383.8)	(110.177,442.939)	(365.114,262.394)	(442.753,41.4263)	(429.164,-104.39)	(412.654,-154.442)	(426.606,-113.64)	(443.725,22.5432)	(380.051,239.16)	(143.921,432.345)	(-226.665,404.976)	(-470.203,60.7546)	(-320.498,-364.486)	(117.27,-483.17)
(258.687,-429.21)	(-259.807,-412.214)	(-470.885,56.1469)	(-170.43,430.183)	(249.966,377.911)	(437.797,82.7294)	(402.847,-177.225)	(306.952,-310.76)	(260.671,-349.003)	(297.15,-319.784)	(391.049,-200.77)	(442.525,44.4113)	(289.198,347.426)	(-113.933,447.114)	(-457.108,120.353)	(-314.227,-370.179)	(198.244,-458.355)	(507.522,-75.4331)	(408.758,329.663)	(179.049,502.687)	(72.1083,532.071)	(156.087,511.042)	(380.01,364.301)	(514.47,-16.4176)
(466.541,-204.523)	(464.715,237.873)	(238.361,475.269)	(85.0429,529.759)	(116.717,522.698)	(315.235,424.811)	(507.041,106.8)	(372.165,-341.249)	(-123.496,-475.229)	(-469.189,-89.6242)	(-287.213,366.596)	(148.723,430.6)	(413.713,170.415)	(425.737,-116.616)	(332.502,-284.382)	(266.864,-344.483)	(280.623,-333.82)	(364.613,-243.712)	(441.888,-33.4077)	(358.64,271.568)	(9.84129,458.549)	(-398.508,248.101)	(-409.178,-254.566)	(53.4628,-492.649)
(79.3053,450.194)	(75.5272,450.928)	(15.3263,458.278)	(-98.9473,450.32)	(-250.631,391.334)	(-396.718,250.813)	(-473.685,32.2826)	(-431.78,-211.337)	(-274.819,-401.815)	(-63.1615,-488.503)	(128.697,-480.565)	(257.097,-430.109)	(315.657,-391.537)	(311.58,-394.618)	(244.07,-437.189)	(106.176,-485.43)	(-91.8501,-483.181)	(-300.737,-381.776)	(-444.839,-180.095)	(-469.592,64.6386)	(-379.699,274.754)	(-229.405,403.51)	(-80.8426,453.507)	(26.6583,457.51)
