1620
(-0.0778666,0.0694922)
(-0.211541,0.0632749)
(0.0316893,-0.0235505)
(-0.168941,0.279712)
(-0.17567,0.0148255)
(-0.0860806,-0.160393)
(-0.179912,0.127452)
(0.0528713,-0.130089)
(-0.211201,-0.168588)
(-0.133563,0.103737)
(-0.268975,-0.0163517)
(-0.286902,0.141636)
(-0.163057,-0.153991)
(0.119037,-0.0263769)
(0.16647,-0.0408593)
(-0.0574391,0.0790264)
(0.0495138,0.0301664)
(0.0787857,-0.0342212)
(0.171517,0.122281)
(0.111494,0.0456891)
(0.128151,-0.250933)
(0.0387831,-0.147911)
(-0.0313158,-0.0990345)
(-0.294646,0.210447)
(0.0538964,0.353222)
(-0.0196046,0.00389355)
(0.00337367,0.0262775)
(0.240038,0.00129219)
(-0.27616,0.165726)
(0.170643,0.0744921)
(-0.0036934,-0.00588921)
(-0.196967,0.0330928)
(-0.101324,0.0980535)
(-0.111002,0.0666039)
(0.0313735,-0.0699846)
(0.0584053,-0.0684853)
(0.0127208,0.000138939)
(-0.127973,0.109295)
(-0.0216933,-0.00261284)
(0.219624,0.0781582)
(0.408537,0.0243896)
(0.0889736,-0.0655388)
(0.166644,0.12317)
(0.161684,-0.0314466)
(-0.029997,-0.0177156)
(-0.225228,0.00678248)
(-0.0811843,0.145628)
(-0.0613152,-0.0114211)
(0.00838519,-0.236468)
(0.0911565,0.155149)
(-0.15346,0.0128411)
(0.037126,-0.0224773)
(0.180814,-0.0505448)
(0.110983,-0.00307203)
(-0.0410108,-0.125178)
(-0.0558184,-0.106792)
(0.0113633,-0.0751976)
(-7.12448e-05,0.0242388)
(-0.115169,-0.241705)
(0.150062,-0.0165626)
(-0.0316106,-0.250624)
(0.393028,-0.317547)
(-0.0719884,-0.105593)
(0.627349,-0.126371)
(-0.0640867,-0.155211)
(0.0294145,0.0273462)
(0.0195845,-0.220722)
(-0.103194,-0.15927)
(-0.0543639,0.129995)
(-0.0415635,-0.141233)
(-0.142524,-0.00334415)
(-0.000645365,0.00968899)
(-0.0270423,0.125138)
(-0.0122355,0.0778789)
(0.0558121,-0.0822939)
(-0.175862,-0.058245)
(0.30584,-0.169614)
(0.396705,-0.216683)
(-0.0884618,-0.0531194)
(0.260612,-0.136117)
(-0.218771,-0.253517)
(0.146608,-0.12183)
(0.000226619,-0.0991189)
(0.0154922,0.178446)
(-0.166415,0.165434)
(0.120218,-0.164375)
(0.0881641,0.140386)
(0.0262808,-0.0261246)
(0.370182,-0.0819171)
(0.331059,-0.104455)
(0.0101734,-0.0540146)
(-0.069654,-0.050751)
(0.687735,-0.228735)
(0.0714368,0.158444)
(-0.0143736,0.106023)
(0.891883,-0.263025)
(-0.0213117,0.365785)
(0.414455,-0.383188)
(0.224796,0.0343768)
(0.177196,-0.00786102)
(-0.00989273,0.009355)
(-0.061293,0.229748)
(-0.0327879,-0.1097)
(0.142375,-0.069602)
(0.074037,-0.255595)
(0.780087,0.203242)
(-0.00359965,-0.0485489)
(0.0428449,-0.0810714)
(0.0220219,0.0400624)
(0.0216673,-0.0545895)
(0.0580958,0.114367)
(0.405315,-0.596494)
(0.651916,0.0615941)
(-0.0130012,0.0980142)
(0.604948,0.033757)
(0.118699,-0.153197)
(-0.131842,0.0732376)
(0.648239,-0.381735)
(-0.0855022,-0.00503816)
(1.08093,-0.3068)
(0.53031,0.102681)
(0.0685958,0.0511737)
(0.614479,-0.0798928)
(0.377247,-0.0145938)
(0.547723,-0.0270706)
(-0.188323,0.0669798)
(-0.323564,-0.0453986)
(-0.379697,-0.142073)
(0.439951,-0.350058)
(0.114432,0.117974)
(0.0574487,0.172769)
(-0.0631971,-0.0232745)
(-0.0230735,0.0565181)
(0.0618562,-0.206444)
(-0.0415872,-0.162273)
(0.0641964,-0.059738)
(0.0749153,0.1967)
(-0.203687,-0.101647)
(1.01602,-0.120066)
(0.289115,-0.0157099)
(0.159816,-0.121512)
(-0.172812,-0.00862651)
(-0.0803357,0.00232663)
(-0.0271324,-0.0884747)
(0.0519347,-0.00677898)
(0.138753,-0.0121078)
(0.0448267,-0.212557)
(0.591836,-0.114286)
(0.606502,-0.241965)
(0.0436844,0.180229)
(0.420338,0.0478122)
(0.21494,-0.187468)
(1.1712,-0.280514)
(0.547809,-0.231194)
(0.0502952,-0.18234)
(-0.17943,-0.0378026)
(-0.0482619,0.103371)
(0.627747,-0.147603)
(0.414416,-0.0196065)
(0.17401,-0.077923)
(-0.0209697,-0.235757)
(0.0744828,0.234574)
(0.0618514,0.188016)
(0.150127,-0.0110734)
(0.202888,0.0565362)
(0.0158833,-0.0121691)
(0.0641192,0.0608416)
(0.129467,0.0591937)
(0.0120915,0.0892633)
(0.000671304,0.104304)
(0.00963402,0.123013)
(-0.0752149,0.188661)
(0.481379,0.0104961)
(0.689614,-0.24115)
(-0.218287,-0.277611)
(-0.143386,-0.566552)
(0.0628417,-0.103436)
(0.119867,0.0397589)
(-0.125983,-0.175579)
(-0.1005,0.064227)
(0.0464177,0.124315)
(-0.0372535,0.0610976)
(0.114138,0.190628)
(-0.0100367,-0.0890396)
(0.0536986,-0.087012)
(0.0926936,0.0892239)
(0.129714,0.0359405)
(-0.0745893,0.00390783)
(-0.268999,-0.119729)
(0.793771,-0.217018)
(0.884193,-0.285538)
(0.44575,-0.308159)
(0.492794,-0.859239)
(0.155597,0.0589783)
(0.0158877,-0.00745482)
(0.117063,-0.0305344)
(0.0560801,0.0139152)
(0.0452042,-0.142055)
(0.165493,0.106241)
(-0.225143,-0.0706115)
(-0.00281467,0.257261)
(-0.092267,0.360968)
(-0.107646,0.0332666)
(0.0705236,0.0210945)
(0.164103,0.0907554)
(0.0550555,-0.0294217)
