1620
(0.034728,-0.0662707)
(0.130695,-0.151458)
(0.0754772,-0.112715)
(0.103594,-0.134378)
(0.0513908,0.137961)
(-0.165031,0.0775557)
(0.104198,-0.393872)
(0.139514,-0.175634)
(-0.171376,0.199726)
(-0.0300615,0.0859017)
(0.172797,0.129797)
(0.115806,-0.13598)
(-0.0297652,0.13128)
(-0.0984061,0.353294)
(0.0593057,-0.126647)
(0.105075,-0.0756887)
(0.0181464,0.100214)
(0.011638,0.0768011)
(-0.0374993,-0.131491)
(-0.0673429,-0.00516081)
(-0.110188,0.113464)
(-0.0313556,0.000958637)
(-0.0925769,-0.0837684)
(-0.106392,0.109779)
(-0.0514777,0.0266973)
(0.157035,0.0554113)
(0.0660493,0.101954)
(0.140876,-0.0898754)
(-0.00860381,-0.0310937)
(0.0377462,-0.146988)
(-0.0949554,-0.114882)
(-0.0091909,-0.0940171)
(0.191179,0.14988)
(-0.0546216,0.0839963)
(0.0379411,0.126129)
(-0.0472474,0.0915322)
(0.123337,0.139362)
(-0.165667,0.0546814)
(-0.0724231,0.119675)
(-0.0928301,-0.0628614)
(0.00524675,0.0568464)
(-0.0839675,-0.129775)
(0.0799183,0.00959208)
(-0.0369576,0.0508215)
(0.152382,0.28726)
(0.202833,0.00811914)
(0.197737,0.0444301)
(-0.0161228,-0.0717068)
(0.217812,0.0345175)
(-0.0276064,-0.139791)
(0.0491234,-0.0392815)
(0.0264239,-0.0619563)
(0.0355982,-0.0625943)
(0.110591,-0.0101713)
(-0.0260405,0.107294)
(-0.0641308,0.0252421)
(-0.00737543,0.0470194)
(-0.0194817,-0.121007)
(0.0232786,0.0650927)
(0.0234443,-0.117089)
(0.0182902,-0.0621135)
(0.333904,-0.0942777)
(-0.156061,-0.0732388)
(0.579615,-0.12027)
(-0.227191,-0.112739)
(0.084691,-0.110689)
(-0.0550473,-0.0818969)
(-0.0358145,-0.0655185)
(0.113876,0.0411499)
(-0.054363,-0.0679651)
(0.0979781,-0.213575)
(0.132023,-0.0792339)
(0.112977,0.0286283)
(-0.0158431,0.17165)
(0.238498,-0.754679)
(-0.0209255,0.11327)
(-0.116604,0.0589491)
(0.00132639,-0.127598)
(0.0028933,-0.037326)
(0.211475,-0.0812113)
(-0.12286,0.176055)
(-0.0783322,0.00558717)
(0.0462798,-0.00197428)
(0.194307,0.0799818)
(-0.0799043,0.163743)
(0.0516505,0.00076055)
(0.02428,0.0919786)
(0.00770198,0.0173951)
(0.00300857,0.153337)
(-0.0344275,-0.0444409)
(-0.0143313,0.0289954)
(-0.0812086,0.0504124)
(0.520675,-0.126368)
(0.15185,-0.110029)
(0.00291816,-0.0646084)
(0.55817,-0.0701625)
(-0.0152043,-0.0228882)
(0.392548,-0.12667)
(0.0696544,0.1774)
(0.0760206,0.120942)
(-0.0640488,-0.00371543)
(0.0243668,-0.110114)
(0.0508279,-0.12482)
(0.0194599,-0.0715392)
(-0.0940421,-0.0493109)
(0.576136,-0.457943)
(-0.0845267,0.0523335)
(-0.175807,0.0548993)
(0.0386665,-0.0277102)
(-0.00738194,-0.0950971)
(0.009822,0.0200307)
(0.643953,0.265142)
(0.464533,-0.407367)
(-0.118734,0.068058)
(0.434219,-0.100865)
(-0.103796,-0.0878303)
(-0.138956,-0.0594429)
(0.478942,0.084156)
(0.0277802,0.0974139)
(0.884443,-0.408574)
(0.737484,-0.109031)
(0.0572322,0.0756083)
(0.963317,-0.363695)
(0.237324,-0.202795)
(0.806733,-0.200719)
(0.104404,-0.105215)
(0.0302283,-0.12631)
(-0.0708553,-0.0968097)
(0.972758,-0.00937492)
(0.0360772,-0.0103452)
(0.0846137,-0.00691891)
(0.132505,-0.0131574)
(-0.134635,-0.053377)
(-0.169346,-0.0251378)
(-0.197659,-0.00458151)
(0.111169,-0.0491894)
(0.0236216,-0.0725949)
(-0.137474,-0.0133561)
