1620
(0.0358418,-0.0856132)
(0.0229806,-0.109091)
(0.0140887,0.0263557)
(-0.113578,-0.100759)
(-0.0852765,0.0480238)
(-0.0654721,0.0615101)
(-0.0180425,-0.0616543)
(-0.0411958,0.0542314)
(-0.00528639,0.163665)
(0.0358378,-0.00278292)
(-0.0658256,-0.0375017)
(-0.10986,0.0211734)
(-0.0890839,0.00596059)
(0.113323,0.119013)
(0.0225484,0.0682934)
(0.00261018,-0.0274881)
(0.0686178,0.00392381)
(-0.0775687,0.0238465)
(0.0243558,-0.05508)
(-0.089805,-0.13903)
(-0.139335,0.119968)
(0.0622304,0.032573)
(0.0356565,0.0757974)
(-0.0497345,-0.0373632)
(-0.0419808,0.0698202)
(0.194753,0.106619)
(-0.0777168,-0.0363214)
(-0.0786926,-0.0169647)
(-0.166242,0.0254905)
(-0.104272,-0.0950709)
(0.183284,0.0395446)
(0.0566064,-0.0414483)
(-0.0378432,0.0903496)
(-0.165736,0.0272898)
(0.0188151,0.0880203)
(-0.0677898,0.00301764)
(0.0975123,0.0325039)
(-0.203858,0.107575)
(-0.0617905,0.0260873)
(-0.153054,0.00924976)
(-0.103315,-0.143937)
(0.090639,-0.0297203)
(-0.105578,0.0099363)
(0.00335118,0.0442685)
(0.0303662,0.033297)
(0.22564,-0.0614592)
(0.156656,-0.106081)
(0.0948508,0.0375275)
(-0.0238392,-0.0619454)
(0.0393638,0.158695)
(0.0981422,-0.0786167)
(0.108251,-0.140355)
(-0.0852478,0.0113762)
(-0.0853671,-0.0286851)
(-0.108836,0.0404849)
(-0.145543,0.0210664)
(-0.0384897,-0.0113645)
(0.316665,0.00106643)
(-0.111922,0.0611172)
(0.109528,0.00733303)
(-0.053021,0.159722)
(0.0929049,-0.0365951)
(0.0191749,-0.055573)
(0.406507,-0.33171)
(-0.0532566,-0.0254356)
(-0.0427272,0.0391928)
(0.0681744,-0.0729427)
(0.152426,-0.106974)
(-0.0269546,0.091784)
(0.0150396,0.00757066)
(0.0278959,0.0528616)
(-0.0619065,0.00133681)
(0.00311367,-0.0140914)
(-0.0556514,0.0547185)
(-0.307875,0.0127917)
(0.0300052,0.105934)
(-0.0270653,-0.044558)
(0.128265,0.209202)
(-0.0604777,-0.0402301)
(0.393774,0.0543547)
(0.0348747,0.0289084)
(-0.0501146,-0.177769)
(-0.0615599,-0.0502639)
(-0.0301763,-0.0836421)
(-0.0602311,-0.0923544)
(-0.0138777,-0.116545)
(-0.128918,-0.000238168)
(-0.0888945,0.10099)
(0.204804,0.195084)
(0.0114209,0.0128498)
(-0.0332658,0.0629972)
(-0.0220054,0.0646408)
(0.539637,-0.156333)
(-0.117088,-0.0288015)
(-0.106643,0.0134611)
(0.619564,-0.128962)
(-0.00933254,-0.0680035)
(0.637832,-0.210153)
(0.0189401,-0.0296661)
(0.0567515,-0.0216134)
(-0.00471493,0.00196647)
(0.0456141,-0.0117674)
(0.0610489,-0.0455241)
(-0.0402666,0.00842628)
(0.0324002,0.0563421)
(0.286365,-0.190654)
(0.197775,-0.12464)
(0.151398,0.0845715)
(-0.116976,-0.0158521)
(0.237523,0.04268)
(-0.126707,-0.0604103)
(0.803816,-0.182664)
(0.417153,-0.000463406)
(-0.0949402,-0.122745)
(0.437844,-0.0426491)
(-0.174626,-0.108202)
(-0.254808,-0.0166172)
