1620
(0.0812647,0.0261389)
(0.116862,0.0102653)
(-0.0159589,-0.0462821)
(-0.0025703,0.0802611)
(-0.0430709,0.0802517)
(-0.102522,0.139504)
(0.134265,-0.0120978)
(-0.157277,-0.087176)
(0.0400613,0.246547)
(0.0735967,0.103904)
(-0.016498,-0.0989408)
(-0.0956314,-0.0929044)
(-0.00480363,0.077962)
(-0.107879,0.0739443)
(-0.0200126,0.0206745)
(-0.0299126,0.0838715)
(-0.0900362,0.0316898)
(0.0166325,-0.0853278)
(-0.15022,-0.144619)
(0.0367945,-0.0649943)
(-0.0712642,-0.0257744)
(0.0721694,0.023682)
(-0.00920533,0.152313)
(-0.0212487,0.0597668)
(0.16665,0.0872354)
(0.0234314,0.064127)
(0.0285425,-0.090055)
(0.123367,-0.268823)
(0.0182086,-0.0208727)
(0.0974354,-0.116326)
(0.0593199,0.105554)
(0.123703,0.0916415)
(0.18835,0.0702782)
(-0.0907103,-0.110504)
(-0.0556956,-0.0540024)
(0.0435616,0.00974215)
(0.0288652,0.0783026)
(0.284935,0.0903857)
(0.254528,-0.0689303)
(-0.273835,-0.1205)
(0.17181,-0.0475383)
(0.132688,-0.068262)
(-0.00818381,-0.0892253)
(0.0333498,0.0268018)
(0.0883249,0.176208)
(0.177603,0.0560937)
(0.0340213,-0.143204)
(-0.213238,-0.160328)
(-0.039973,0.00739537)
(-0.111333,-0.115637)
(0.00156215,-0.0326655)
(0.225992,-0.183)
(-0.0670657,-0.00479202)
(0.030196,-0.0624456)
(-0.089069,-0.0556156)
(-0.14806,-0.0291271)
(-0.106647,-0.0706449)
(0.219208,0.123887)
(-0.125452,0.00532334)
(0.0244915,0.0358687)
(-0.140562,0.0988451)
(0.255909,-0.0112207)
(-0.0442757,0.0160367)
(0.559581,-0.40362)
(-0.185688,-0.033416)
(-0.0977336,-0.0631444)
(0.0695647,0.0097273)
(0.208286,-0.0731233)
(-0.129406,0.167555)
(-0.0746492,-0.00320683)
(-0.112009,-0.0926163)
(-0.0162926,-0.138112)
(0.0149227,-0.0184804)
(-0.100181,0.0113786)
(0.0662713,-0.387276)
